taxon_code,gbif_accepted_taxon_id,gbif_accepted_scientific_name,habit,wcvp_accepted_name,taxonomic_rank,wcvp_url,source
Carapa,3190512,Carapa,,Carapa,genus,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:30021511-2,wcvp
Cardiopteridaceae,3233863,Cardiopteridaceae,,Cardiopteridaceae,family,,wcvp
Carica,2874482,Carica,,Carica,genus,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:30011249-2,wcvp
Carica papaya-CARIPA,2874484,Carica papaya,Freestanding,Carica papaya,species,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:30011248-2,wcvp
Caricaceae,6636,Caricaceae,,Caricaceae,family,,wcvp
Cariniana,3083017,Cariniana,,Cariniana,genus,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:27473-1,wcvp
Carissa,3169761,Carissa,,Carissa,genus,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:2243-1,wcvp
Carolus,3231247,Carolus,,Carolus,genus,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:60442923-2,wcvp
Carpotroche,7274050,Carpotroche,,Carpotroche,genus,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:30005106-2,wcvp
Caryocar,3189661,Caryocar,,Caryocar,genus,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:30007706-2,wcvp
Caryocaraceae,6647,Caryocaraceae,,Caryocaraceae,family,,wcvp
Caryodaphnopsis,7304487,Caryodaphnopsis,,Caryodaphnopsis,genus,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:21368-1,wcvp
Caryodendron,3055896,Caryodendron,,Caryodendron,genus,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:15151-1,wcvp
Caryota,2738880,Caryota,,Caryota,genus,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:31147-1,wcvp
Cascabela,7950372,Cascabela,,Cascabela,genus,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:2250-1,wcvp
Casearia,2874105,Casearia,,Casearia,genus,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:327084-2,wcvp
Casearia aculeata-CASEAC-CAS1,5331145,Casearia aculeata,Freestanding,Casearia aculeata,species,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:47939-2,wcvp
Casearia arborea-CASEAR-CAS2,5331149,Casearia arborea,Freestanding,Casearia arborea,species,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:47945-2,wcvp
Casearia arguta-CASEA1,7595115,Casearia arguta,Freestanding,Casearia arguta,species,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:779498-1,wcvp
Casearia bicolor-LAETPR-LAEP,5331156,Casearia bicolor,Freestanding,Casearia bicolor,species,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:47957-2,wcvp
Casearia guianensis-CASEGU-CASG,5331144,Casearia guianensis,Freestanding,Casearia guianensis,species,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:48004-2,wcvp
Casearia sylvestris-CASESY-CASS,5331148,Casearia sylvestris,Freestanding,Casearia sylvestris,species,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:274165-2,wcvp
Cassia,2963414,Cassia,,Cassia,genus,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:331467-2,wcvp
Cassipourea elliptica-CASSEL-CAS3,7273558,Cassipourea elliptica,Freestanding,Cassipourea elliptica,species,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:719623-1,wcvp
Cassipourea-CASS1,3086519,Cassipourea,Freestanding,Cassipourea,genus,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:30017081-2,wcvp
Cassipourea-CASS2,3086519,Cassipourea,Freestanding,Cassipourea,genus,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:30017081-2,wcvp
Castilla,2984557,Castilla,,Castilla,genus,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:40740-1,wcvp
Castilla elastica-CASTEL-CAS4,7531920,Castilla elastica,Freestanding,Castilla elastica,species,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:850895-1,wcvp
Cavanillesia,7296146,Cavanillesia,,Cavanillesia,genus,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:25834-1,wcvp
Cavanillesia platanifolia-CAVAPL-CAVP,4073280,Cavanillesia platanifolia,Freestanding,Cavanillesia platanifolia,species,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:559273-1,wcvp
Cavendishia,3234119,Cavendishia,,Cavendishia,genus,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:331471-2,wcvp
Cayaponia,2874613,Cayaponia,,Cayaponia,genus,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:328299-2,wcvp
Cayaponia glandulosa-CAYAGL,3623745,Cayaponia glandulosa,Climbing,Cayaponia glandulosa,species,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:291801-1,wcvp
Cayaponia granatensis-CAYAGR-CAYG,3623677,Cayaponia granatensis,Climbing,Cayaponia granatensis,species,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:291805-1,wcvp
Cayaponia racemosa-CAYARA-CAYR,2874614,Cayaponia racemosa,Climbing,Cayaponia racemosa,species,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:291845-1,wcvp
Cayaponia sessiliflora-CAYASE,3622786,Cayaponia sessiliflora,Climbing,Cayaponia sessiliflora,species,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:50621-2,wcvp
Cecropia,2984472,Cecropia,,Cecropia,genus,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:331474-2,wcvp
Cecropia insignis-CECRIN-CECI,4013292,Cecropia insignis,Freestanding,Cecropia insignis,species,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:850935-1,wcvp
Cecropia longipes-CECRLO-CECL,4013134,Cecropia longipes,Freestanding,Cecropia longipes,species,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:50883-2,wcvp
Cecropia obtusifolia-CECROB-CECO,2984473,Cecropia obtusifolia,Freestanding,Cecropia obtusifolia,species,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:850947-1,wcvp
Cecropia peltata-CECRPE-CECP,2984476,Cecropia peltata,Freestanding,Cecropia peltata,species,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:850956-1,wcvp
Cedrela,3190510,Cedrela,,Cedrela,genus,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:30014434-2,wcvp
