col,row,name,date,p5,tag,dbh,comments,,,,
42,34,BB,11/17/04,23,21556,92,,,,,
42,34,BB,11/17/04,31,21557,121,,,,,
42,34,BB,11/17/04,31,21557,62,,,,,
42,34,BB,11/17/04,41,21559,219,,,,,
42,34,BB,11/17/04,41,21559,63,,,,,
42,35,BB,11/17/04,12,21562,136,,,,,
42,35,BB,11/17/04,12,21562,90,,,,,
42,35,BB,11/17/04,14,21566,84,,,,,
42,35,BB,11/17/04,14,21566,72,,,,,
42,35,BB,11/17/04,14,21566,51,,,,,
42,35,BB,11/17/04,14,21566,47,,,,,
42,35,BB,11/17/04,14,21566,85,,,,,
42,35,BB,11/17/04,14,21566,68,,,,,
42,35,BB,11/17/04,14,21566,62,,,,,
42,35,BB,11/17/04,14,21566,60,,,,,
42,35,BB,11/17/04,14,21566,80,,,,,
42,35,BB,11/17/04,14,21566,84,,,,,
42,35,BB,11/17/04,14,21566,68,,,,,
42,35,BB,11/17/04,32,21577,99,,,,,
42,35,BB,11/17/04,32,21577,76,,,,,
42,35,BB,11/17/04,32,21577,66,,,,,
42,35,BB,11/17/04,32,21577,55,,,,,
42,35,BB,11/17/04,32,21577,80,,,,,
42,35,BB,11/17/04,32,21577,86,,,,,
42,37,EV,11/18/04,12,21602,163,,,,,
42,37,EV,11/18/04,12,21602,83,,,,,
42,37,EV,11/18/04,12,21602,77,,,,,
42,37,EV,11/18/04,13,21603,108,,,,,
42,37,EV,11/18/04,13,21603,73,,,,,
42,37,EV,11/18/04,14,21604,128,,,,,
42,37,EV,11/18/04,14,21604,79,,,,,
42,37,EV,11/18/04,22,21610,92,,,,,
42,37,EV,11/18/04,22,21610,91,,,,,
42,37,EV,11/18/04,22,21610,83,,,,,
42,37,EV,11/18/04,22,21610,79,,,,,
42,37,EV,11/18/04,21,21611,110,,,,,
42,37,EV,11/18/04,21,21611,102,,,,,
42,37,EV,11/18/04,21,21611,87,,,,,
42,37,EV,11/18/04,21,21611,86,,,,,
42,37,EV,11/18/04,21,21611,82,,,,,
42,37,EV,11/18/04,31,21613,115,,,,,
42,37,EV,11/18/04,31,21613,102,,,,,
42,37,EV,11/18/04,31,21613,92,,,,,
42,37,EV,11/18/04,31,21614,143,,,,,
42,37,EV,11/18/04,31,21614,84,,,,,
42,37,EV,11/18/04,34,21617,133,,,,,
42,37,EV,11/18/04,34,21617,132,,,,,
42,37,EV,11/18/04,34,21617,124,,,,,
42,37,EV,11/18/04,43,21620,98,,,,,
42,37,EV,11/18/04,43,21620,81,,,,,
42,37,EV,11/18/04,43,21620,42,,,,,
42,38,EV,11/18/04,12,21626,147,,,,,
42,38,EV,11/18/04,12,21626,77,,,,,
42,38,EV,11/18/04,14,21629,111,,,,,
42,38,EV,11/18/04,14,21629,81,,,,,
42,38,EV,11/18/04,14,21629,77,,,,,
42,38,EV,11/18/04,14,21629,76,,,,,
42,38,EV,11/18/04,14,21629,56,,,,,
42,38,EV,11/18/04,14,21630,90,,,,,
42,38,EV,11/18/04,14,21630,61,,,,,
42,38,EV,11/18/04,23,21635,170,,,,,
42,38,EV,11/18/04,23,21635,148,,,,,
42,38,EV,11/18/04,32,21642,106,,,,,
42,38,EV,11/18/04,32,21642,63,,,,,
42,39,EV,11/22/04,23,21652,112,,,,,
42,39,EV,11/22/04,23,21652,108,,,,,
42,39,EV,11/22/04,23,21652,100,,,,,
42,39,EV,11/22/04,23,21652,79,,,,,
42,39,EV,11/22/04,23,21652,93,,,,,
42,39,EV,11/22/04,23,21652,83,,,,,
42,39,EV,11/22/04,23,21652,81,,,,,
42,39,EV,11/22/04,23,21652,71,,,,,
42,39,EV,11/22/04,23,21658,102,,,,,
42,39,EV,11/22/04,23,21658,71,,,,,
42,40,EV,11/22/04,43,21679,144,,,,,
42,40,EV,11/22/04,43,21679,128,,,,,
42,40,EV,11/22/04,43,21679,106,,,,,
42,40,EV,11/22/04,43,21679,80,,,,,
42,40,EV,11/22/04,43,21679,69,,,,,
42,40,EV,11/22/04,43,21679,51,,,,,
42,41,EV,11/22/04,11,21681,235,,,,,
42,41,EV,11/22/04,11,21681,181,,,,,
42,41,EV,11/22/04,11,21681,143,,,,,
42,41,EV,11/22/04,44,21690,101,,,,,
42,41,EV,11/22/04,44,21690,81,,,,,
42,41,EV,11/22/04,44,21690,61,,,,,
42,41,EV,11/22/04,44,21690,60,,,,,
42,42,EV,11/22/04,14,21701,104,,,,,
42,42,EV,11/22/04,14,21701,94,,,,,
42,42,EV,11/22/04,14,21701,74,,,,,
42,42,EV,11/22/04,44,21710,90,,,,,
42,42,EV,11/22/04,44,21710,88,,,,,
42,42,EV,11/22/04,44,21710,72,,,,,
42,42,EV,11/22/04,44,21710,59,,,,,
42,42,EV,11/22/04,44,21711,80,,,,,
42,42,EV,11/22/04,44,21711,77,,,,,
42,42,EV,11/22/04,44,21711,74,,,,,
42,42,EV,11/22/04,44,21711,74,,,,,
42,42,EV,11/22/04,44,21711,68,,,,,
42,42,EV,11/22/04,44,21711,62,,,,,
42,42,EV,11/22/04,44,21711,77,,,,,
42,42,EV,11/22/04,44,21711,76,,,,,
42,42,EV,11/22/04,44,21711,76,,,,,
42,42,EV,11/22/04,42,21712,92,,,,,
42,42,EV,11/22/04,42,21712,90,,,,,
42,42,EV,11/22/04,42,21712,76,,,,,
42,42,EV,11/22/04,42,21712,65,,,,,
42,42,EV,11/22/04,42,21712,62,,,,,
42,42,EV,11/22/04,41,21713,101,,,,,
42,42,EV,11/22/04,41,21713,95,,,,,
42,42,EV,11/22/04,41,21713,95,,,,,
42,42,EV,11/22/04,41,21713,26,,,,,
42,42,EV,11/22/04,41,21713,73,,,,,
42,42,EV,11/22/04,41,21713,55,,,,,
42,42,EV,11/22/04,41,21713,74,,,,,
42,42,EV,11/22/04,41,21713,63,,,,,
42,43,EV,11/23/04,24,21722,665,,,,,
42,43,EV,11/23/04,24,21722,206,,,,,
42,44,EV,11/23/04,11,21727,97,,,,,
42,44,EV,11/23/04,11,21727,75,,,,,
